transaction_id,transaction_date,customer_id,product_code,branch_code,quantity,unit_price,total_amount,payment_method
TXN1001,2026-05-16,C001,PRD001,BR01,2,15.50,31.00,CARD
TXN1002,2026-05-16,C002,PRD002,BR01,1,45.00,45.00,CASH
TXN1003,2026-05-17,C003,PRD003,BR02,3,12.00,36.00,QRIS
TXN1004,2026-05-17,C004,PRD001,BR03,5,15.50,77.50,CARD
TXN1005,2026-05-18,C001,PRD002,BR02,2,45.00,90.00,CARD
TXN1006,2026-05-18,C005,PRD004,BR03,1,120.00,120.00,BANK
TXN1007,2026-05-18,C999,PRD001,BR01,2,15.50,31.00,CASH
TXN1008,2026-05-18,C002,PRD999,BR01,2,15.50,31.00,CASH
TXN1009,2026-05-18,C003,PRD003,BR99,1,12.00,12.00,QRIS
TXN1010,2026-05-18,C004,PRD001,BR03,0,15.50,0.00,CARD
TXN1011,2026-05-18,C004,PRD001,BR03,1,-5.00,-5.00,CARD
TXN1012,not-a-date,C001,PRD002,BR02,2,45.00,90.00,CARD
TXN1005,2026-05-18,C001,PRD002,BR02,2,45.00,91.00,CARD

